IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_11:=:(148.37, 1094.4] THEN class:=:class=0 (conf=0.560, supp=1.000)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_17:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_16:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_15:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_14:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_13:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_12:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_11:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_10:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_9:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_8:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_7:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_6:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_5:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_4:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_26:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_27:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ pressure_Node_3_Elevation:=:(29.99, 30.01] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_48:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_47:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_46:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_45:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_44:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_43:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_42:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_41:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_40:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_39:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_38:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_37:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_36:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_35:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_34:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_33:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_32:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_31:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_30:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_29:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_28:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_3:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_2:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_1:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_29:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_28:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_27:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_26:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_25:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_24:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_23:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_22:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_21:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_20:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_19:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_18:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_17:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_16:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_15:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_14:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_13:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_12:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_11:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_10:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_9:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_8:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_30:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_31:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStd:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternMean:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_BaseDemand:=:(398.515, 398.781] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_2_length:=:(1215.457, 1216.268] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_2_diameter:=:(1139.781, 1140.541] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_48:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_47:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_46:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_45:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_44:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_43:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_42:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_41:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_40:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_39:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_38:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_37:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_36:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_35:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_34:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_33:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_22_PatternStep_32:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_29_diameter:=:(409.387, 409.66] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_29_length:=:(1624.868, 1625.951] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_12:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_11:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_10:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_9:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_8:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_7:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_6:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_5:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_4:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_3:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_2:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_1:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStd:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternMean:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_BaseDemand:=:(143.278, 143.374] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_48:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_47:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_46:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_45:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_44:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_43:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_42:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_13:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_14:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_36:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_35:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_34:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_33:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_32:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_31:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_30:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_29:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_28:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_27:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_26:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_25:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_24:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_23:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_22:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_21:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_20:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_19:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_18:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_17:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_16:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_15:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_41:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_40:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_39:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_14:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_13:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_12:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_11:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_10:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_9:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_8:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_7:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_6:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_5:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_4:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_3:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_2:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_24_PatternStep_1:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
